Fine,[]
I like my nook a lot.,[]
very easy to read.,[]
Text has good contrast.,[]
Would recommend.,[]
"My wife loves it, and the screen is so crisp.",[]
I might just have to get one for myself.,[]
"Product arrived sooner than shipping estimate, which was a wonderful surprise.",[]
"We bought this to replace one that my husband short-circuited, and it's already up and running.",[]
We like the small size.. easier to tote around than the larger ones.,[]
"Had thought about upgrading, but why mess with success.",[]
"It's a shame B&N isn't carrying them anymore, bigger is not necessarily better in our opinion.",[]
I just got this device yesterday for Christmas and I love it!,[]
The only downfall is that I cannot connect directly to Overdrive to borrow books from the library.,[]
I have to download the books from the library on the computer and then transfer them to the nook.,[]
"I know ereaders have been reviewed to death, so I will make my review short and sweet.",[]
I was considering the Kindle with Special Offers (cheapest version) but found a super deal on a Nook Simple Touch.,[]
"I am glad I decided to go with B&N's ereader for the following reasons: nice matte screen; smooth, comfortable, curved ergonomic shape; epub support; longer battery life; touch AND button operation.",[]
The main downside for me is the lack of free books/special offers that Amazon does for the Kindle.,[]
B&N just doesn't have as many good deals or as often.,[]
"Aside from that, highly recommend!",[]
"I found tablets and phones lack the battery life and quiet simplicity of this type of specialised product.Forget checking email, listening to audio or constant distractions.",[]
This ereader is purely a reading machine.,[]
"The text is clearer than a laser printed page and the capacity of 32GB micro SD card means accessibility to 10,000's of books.As with my Samsung table I found PDF viewings unsatisfactory and even maps in epubs were a disappointment.Another issue is that, without a US credit card billing address, B&N; will not let you use your account so I have had to store by own epubs in the machine and find them elsewhere.The unit is easy to operate and had a claimed battery life of up to two months.",[]
It is easily charged from a micro USB connection and files can easily be copied from a PC.The crystal clear text and easy touch or button navigation make reading a pleasure.,[]
There is only a minuscule delay when turning pages.,[]
All in all I am delighted by the unit which is good value for something that holds practically my entire library.,[]
"Book did not work right........wanted to return it, and was not able because i opened it!",[]
How stupid......how do you know something does not work unless you try it!,[]
"I was pretty doubtful about whether an ebook reader was worth it, but this nook surpassed my expectations.",[]
"I love the simplicity, and the small size makes it perfect for travelling.",[]
"The material its made of makes it stay in your hand well, and the features it has is just right for me - not to fancy, but not lacking either.",[]
"My only complaint is the fact that you can't use the dictionary on pdf books, but I remedied that easily by using software on my computer to convert my pdfs into epub before putting them on the nook.",[]
"All in all, this is the best purchase I've made in a while - definitely worth it!",[]
This Nook came extremely fast - I was so excited.,[]
"I demolished my first Nook, so I was ready to reload all the wonderful novels and start reading.",[]
Thanks for the great customer service!,[]
"My nook froze within a few days, as the user guide is ON THE NOOK I had to go to the internet to find info on what to do.",[]
I was directed to the online nook user guide (on B+N.com) which told me to remove the back cover and unplug the battery for a hard reboot.,[]
"It didn't work and after an hour with a worthless tech support agent I'm informed that those directions are for the original nook, and that I will need to get a brand new one.",[]
Best yet....,[]
Removing the cover has now voided my warranty!!,[]
"Quite simply the worst customer service experience I have ever had, although the nook was fun to use for the ~48 hours it worked.",[]
"The new Nook ""Simple Touch"" is easy on my eyes for long reading sessions.",[]
"The Nook makes it easy to chose a font style, a font size, single spacing or double spacing...you can customize the appearance of the text to your needs.It is easy to read the Nook indoors with any decent room lighting, and easy to read outdoors in the shade.","[('outdoors', 0.096633526209691)]"
It is July in Texas...so I have not tried using it in direct sunlight.The Nook is easy and comfortable to hold in one hand for extended periods of time.,[]
Turning pages is easy with a light touch on the side of the screen or a press of the page button in the sideframe.The battery took a couple of full charge/discharge cycles to stabilize.,[]
"At that point, it was using about 2% of the battery for each hour or two of reading.",[]
Reading an hour or two hours a day and using the Wi-Fi an hour or two per week would result in 3 weeks or 4 weeks per charge.,[]
"In contrast, my color e-reader requires charging each day.Magazines look MUCH better on my color e-reader, but magazine text is very readable on the Nook.",[]
"The Nooks is at its best with a book with plain text, as illustrations, art, drawings, etc.",[]
look crude compared with a color e-reader.I have several books in paperback at home that I also have on the Nook.,[]
"Because I can increase font size and use double-spacing on the Nook, it is much easier to read on the Nook than in the paperback book.",[]
"My aging eyes feel much better after a couple hours with the Nook than after a couple hours straining to read the ""fine print"" that is typical of lower priced paperback books.If you want an e-reader primarily for magazines, you probably should buy the Nook Color or a small color tablet.",[]
"If you will be reading books, you will like the NOOK Simple Touch.",[]
Look around and compare price...the price of the Nook varies widely between stores.,[]
"I was given a Nook touch screen for Christmas and while excited, I really didn't want to convert to an e reader.",[]
I love the feel and smell of a book.,[]
"Plus, there is something about seeing the progress, and holing it in your hands that I just love.",[]
"My husband has the original nook, and I tried out a book on it.",[]
"It was ok, but it was big, and clunky and heavy.",[]
"So, the new nook has that going for it.",[]
I  downloaded a book right away and fell in love with it.,[]
"It's easy to buy books on it, share them, and my husband and I could  read the same book at the same time and it didn't mess with where each other were at in the book.",[]
"I love that I can tap the page and it turns, but that's also why I gave it four stars because my kids will tap the screen or it will get touched as I put it down, then when I pick it back up it's on a different page.",[]
I do love some features about it that are much improved over the old nook.,[]
"It's so much easier to look up the meaning of a word, you can have a wish list for books you want to buy, which you can't do on the old one.",[]
I also love that you can pick your font and size of the font.,[]
Any book you buy can become a large print...for those that need it.,[]
"While I still pick  up a regular book, my nook is enjoyable, and easy to take along, doesn't rip or get torn up.",[]
I love it and would suggest it for anyone looking at purchasing an e reader.,[]
"I like this device,  but the software is flaky.",[]
"With 2 months of light use, after numerous lock/hang issues, mine is a brick and cannot be be rebooted.",[]
B&N has offered a REFURB unit as a warranty replacement - underwhelming for such a new and obviously flawed device.,[]
"My experience is not unique, many have had similar issues.",[]
"It should not be that hard to deliver a bulletproof eReader, it has very limited function, not like a general purpose computer running code from various vendors.",[]
Application code/device driver stack is not strong.,[]
Hardware appears to be reasonable.,[]
Would be interesting to see a report from someone that knows specifics about the software shop that developed the Nook Simple Touch code.,[]
"The UI is learnable in a relatively short time,  but not intuitive as an eReader should be.",[]
"The eReader UI experience should be closer to an iPhone experience, instead of a VCR timer event recording from the 80's (like it is).",[]
"Recommendation to B&N, get different software development team with experience writing bulletproof production code for 2.0.",[]
Full rewrite of Nook Simple Touch code recommended.,[]
"I got this nook for Christmas from my parents, it is light and easy to use.",[]
"My only issue is that you can't go on the internet with the nook, but it is still really good for reading.",[]
